elapsed_time(s),inner_steps,pdcp_iterations,outer_steps,pd_gap
569.309,96491448,310379,4221,0.00011276908749489715
569.869,96589354,310913,4231,0.00011240152979149348
570.46,96692684,311445,4241,0.00011206652131133532
571.066,96798118,311994,4251,0.00011183401567771423
571.649,96899946,312529,4261,0.00011158190625538099
572.221,96999390,313069,4271,0.00011131297102056487
572.813,97102503,313609,4281,0.00011103853718773087
573.375,97200574,314138,4291,0.00011082775183637004
573.933,97297880,314668,4301,0.00011059205644443557
574.551,97404416,315212,4311,0.00011034994196696887
575.124,97503618,315749,4321,0.00011008194937347886
575.648,97595169,316269,4331,0.0001097849799180893
576.171,97686025,316788,4341,0.00010947061678302956
576.727,97782721,317314,4351,0.00010923673473039845
577.31,97883534,317847,4361,0.00010903053405225682
577.857,97978578,318373,4371,0.00010880175971995053
578.387,98070724,318898,4381,0.00010855240378514555
578.94,98166840,319435,4391,0.00010837320042870156
579.507,98264500,319970,4401,0.00010831228298388562
580.033,98355700,320490,4411,0.00010830917575042724
580.535,98442994,321003,4421,0.00010828966365164852
581.086,98538470,321531,4431,0.0001082599636709914
581.615,98630098,322053,4441,0.00010821077789062612
582.135,98720236,322569,4451,0.000108155337570838
582.686,98815552,323098,4461,0.00010808543080139017
583.212,98906258,323618,4471,0.00010800215469239892
583.705,98991688,324133,4481,0.00010789689980959284
584.242,99083989,324658,4491,0.00010779174867267365
584.79,99177858,325190,4501,0.00010767196697553626
585.335,99270600,325713,4511,0.00010753752710547342
585.913,99368101,326242,4521,0.0001073944926599929
586.433,99456499,326760,4531,0.0001072284575643137
586.948,99544621,327274,4541,0.00010705146907892885
587.537,99638816,327796,4551,0.00010687016617723193
588.094,99732090,328317,4561,0.00010667003922197951
588.612,99820084,328835,4571,0.00010646025850493367
589.148,99910768,329353,4581,0.00010623110973205681
589.678,100001829,329871,4591,0.00010599604415093694
590.234,100096378,330397,4601,0.00010574987169825571
590.76,100186846,330916,4611,0.00010549641184388024
591.28,100276327,331432,4621,0.000105218067873971
591.788,100363886,331946,4631,0.00010493532485165123
592.322,100455075,332469,4641,0.00010465853164900486
592.841,100544037,332986,4651,0.00010448971600864401
593.375,100635509,333508,4661,0.00010430713389090497
593.908,100727046,334032,4671,0.00010411258961454638
594.413,100813159,334551,4681,0.00010390596139450876
594.956,100904679,335071,4691,0.00010379566336218664
595.474,100990315,335584,4701,0.00010374189813471858
595.98,101076762,336099,4711,0.00010372646940069383
596.5,101165128,336618,4721,0.00010370062941551968
597.028,101255537,337134,4731,0.00010367069476851197
597.532,101341866,337651,4741,0.00010363183148088921
598.059,101430305,338167,4751,0.000103584767399122
598.568,101516155,338681,4761,0.00010352217667516407
599.082,101602968,339195,4771,0.00010345606692619379
599.588,101689056,339707,4781,0.00010338096262453578
600.094,101775168,340216,4791,0.00010330050935484884
600.632,101864713,340734,4801,0.00010320951935833406
601.147,101950056,341252,4811,0.000103109429909631
601.686,102037127,341766,4821,0.0001030035385471955
602.23,102123228,342276,4831,0.00010288992552748982
602.76,102210889,342790,4841,0.00010276860805443974
603.269,102295262,343302,4851,0.00010263944136638947
603.779,102381005,343810,4861,0.0001025723038132545
604.283,102464781,344320,4871,0.00010250287064673437
604.825,102552067,344834,4881,0.00010243320141598879
605.344,102637274,345345,4891,0.00010235134365933762
605.872,102722628,345855,4901,0.00010226174670735846
606.378,102805564,346366,4911,0.00010216716901318909
606.927,102892359,346877,4921,0.00010206757559744553
607.46,102975878,347385,4931,0.00010196174397003599
607.938,103056047,347896,4941,0.00010185062496058904
608.433,103137851,348399,4951,0.00010173111974299577
608.92,103219180,348902,4961,0.0001016019762358402
609.439,103306560,349413,4971,0.00010146793657730101
609.916,103387527,349916,4981,0.0001013584616918195
610.43,103472386,350430,4991,0.00010123959905010242
610.924,103555287,350940,5001,0.0001011221094788118
611.425,103638209,351445,5011,0.00010099262047127272
611.93,103722977,351960,5021,0.00010085619982968912
612.418,103805202,352465,5031,0.0001007044023077705
612.924,103888068,352969,5041,0.00010054505895940209
613.425,103971167,353477,5051,0.00010037702084488877
613.903,104050742,353986,5061,0.00010019817164512619
614.358,104127592,354485,5071,0.00010001601607257868
614.816,104204967,354986,5081,9.982206429517797e-5
615.32,104289697,355495,5091,9.962291906113509e-5
